text,sentiment
I`m leaving work now. Trying to decide if I return on Sunday afternoon or Monday 4 am to meet a noon (UK time) deadline.,neutral
 haaaw..well i get out of class at 10:50..i hope i make it,positive
"oooh, sunshine! A patch of sunshine! And it will be gone by the time I leave work and replaced with rain.  /vent",neutral
skype call with billie but my webcam dont work,neutral
"Just had a great study time followed by a delicious Japanese meal with Arty! Now, trying to get back into the study mood",positive
FML not having a car is prohibiting finding a job,negative
"  lol since I got twitter a little while ago, it seems like loads of people setting up an account",neutral
 I want to see David cook!!,positive
 yeh me 2,neutral
 learning tat the scenic way  din plan to go town but somehow was herded there?,neutral
" i don`t want to do anything specific, i just want to see you and puppy!",neutral
 yeah i need his fricken cell number ive tried his home for months and hes too busy. i miss braddddddddd,negative
Toy Story 3 trailer premiered with Up. I need my computer back.,neutral
ughh on the phone with HP!,neutral
And- hand made by Dan & Jenn -sock blockers ... made from exotic woods ... one of which is called 'purple heart',neutral
 yay about breaking 200!,positive
 bahah sadly I am not,negative
 i always have those for my Champions League parties  Tis awesome,positive
" well, not all. just stay away from those kinds and surround yourself with those who don`t. happy mother`s day to ur mom, treiz!",positive
_Adel they didn`t reply yet.. wait till they confirm.. in case somebody might have translated it already..,neutral
 thats rough. hubby had knee surgery but it did help him in the end. Let us know the results. We`ll keep him in our prayers,negative
might have to go back much earlier than expected. bye bye bay area,neutral
"Playin City of Villains, wishin my buddies were playin with me.....",positive
" yep - three things: a good haircut, the ability to listen and the value of not taking yourself too seriously",positive
 riley hacked my twitter!  hahaha :],neutral
Big Sad Face   Bing doesn`t work on iPhone.  It just takes you to the regular mobile Live search.,neutral
 I liked it.  Did you record it yourself?  If so you have a very soothing voice.,positive
man im so sad school is ending  but then again high school might be better :O,neutral
" Folks thought it was hilarious when I told them the story, and then they saw the shirt I wore tonight.  Laughter all night.",positive
 you`re the absoute best,positive
oh my god!!! i cried so much!!! watch this guys from BGT  http://bit.ly/5t5Xz,neutral
My near daily exercise is starting to show results.,neutral
 Welcome!,positive
Bout to hit pmark then make one of my final meals wit the housemates..,neutral
: you get to go home and i have to go to work,neutral
voted for  on CMT.com,neutral
"just got home from a nice party, just not tired yet",positive
Now I have a sunburn,negative
I have the Job  this is a nice day it can not be better,positive
I wish I could go to #BEA this weekend.,positive
"I <3 Rupert Grint......& of the boy, Ive accepted tht I do fancy him  But im certain he doesnt feel the same so its not worth telling him",neutral
 love your books,positive
ok so this eye doctor guy is taking forever and i`m sitting in a cold room by myself...what? A jerk!,negative
Im Slowing on My Tweets..Cuase I Lost My Phone,negative
 well thank your phone for me.,positive
 why would they take a photo with stuffed animals?! that`s pretty funny,positive
TweetDeck is acting really strange! Hum........ reinstall maybe. Update on the horizon? Or is it just another Adobe memory leak,neutral
tikcets are only ï¿½91...each...BUT I SO WANT TO GO,positive
 Happy Mothers Day,positive
 It`s gonna be hot here today too. today is Ryan`s last day of pre-k. I can`t believe it!  I`ve been a SAHM since I had him!,negative
is dreaming of the weekend... awake!,neutral
"Oh, **** me. I`ve just returned from the Supermarket Of Doom to find that I have nothing to drink here.",negative
 yay but you missed naptime,neutral
"D-group Saturday`s, with a little bit of football, an hour nap, 3 hours of soccer, basketball in the TSU and Yogurtland... Life`s Good",positive
just set up a new computer again. 15min. I love Norton Ghost.,positive
Ahhh my mommie got me new sheets for my bed  so comfy,positive
_celeste  finally some sleep in silence,neutral
im just up :-| and its 12:43 :O  im so lazy thank god its a bank holiday,neutral
is pretty dang tired. but chambers class is for napping.,negative
i have to poop...   is hogging the shitter,negative
YES! Im down to 50% full on my dvr  i was at 98% like 3 days ago... lol I swear if I didnt have a dvr I would never watch tv,neutral
Happy muthath`s day to all moms!!! I salute you!,positive
Hahaha! Alright  ..,positive
 Aren`t you suppossed to support the local economy ... LOL ... good for you and congrats,positive
 good to know   thanks,positive
 what are you? flavor of the day?,neutral
weathers let me down this morning...ugh!...hada gd nite tho!,neutral
Just listened to condre scr and got an invitation to watch their live concert on June 20th in Munich http://bit.ly/DAXA0  #postrock,neutral
" E.L.O.  wow, brings back so many happy memories.  LOVE this band!..and yes, I know I`m showing my age but I don`t care",positive
 that`s a very cute picture ... but you don`t get fat from licking BBQs ... he must have found some chops on someone else`s ...,positive
 oh i love sunday mornings like this - mum just made scrambled eggs on toast,positive
"hate working when its sunny,boohoo",negative
is ONLiNE  http://plurk.com/p/stjdg,neutral
bundy. in 3 days.!!!! warm weather here i come!,neutral
Wondering if i cld make things any worse than they already are... answer.. JUST DID!!!,negative
a Dutch marketing agency is asking job applicants to apply in 140 characters or less  http://www.energize.nl/twillicitatie/,neutral
Twitter has spoiled all the fun. Frustratingly slow!!  couldnt even bid properly!,negative
_chick haha. I completely agree,positive
"If we don`t pack, she can`t leave, right?",neutral
 ****  lol....where u headed to?,neutral
Going to bed after a great night with a friend  glad to know she has the same feelings about classes as someone else,positive
" many! mine included. ahem. shld have known better back then, wldn`t have missed so many opportunities haha",negative
it`s nice to leave the office when the sun is still up,positive
I will miss the soccer moms,negative
" between the Garlic Pills, the Spider bite between your toe (LOL-Classic) and you always being hungry. U are killing me 2 funny",neutral
 *sighs* Ah well.  Maybe my second email will clear it up and get him approved.,neutral
"  Missed all your tweets again Joe, **** that time difference!!! (UK) Dont 4get about your fave supporters in the UK!!!  ****",neutral
 --that came to my mind. So I said it. And it has now been adapted into my family`s vocabulary,neutral
looking forward to body works today,neutral
just watched yes man. bahaha. that movie is messed up,negative
 Sadly I think I know exactly were you put it--in the expired drawer   Those things have a life span of less than two years,negative
" Too much? No, not unless one of the pillows ends up suffocating the one sleeping next to you.",negative
Meeting my best friend first thing in the morning to the gym! Omg I am still so shocked. I hope you will get better soon,neutral
Wow that was fast...next up Soderling or Ferrer. Gilles Simon lost,negative
 Yup theory is GREAT but the reality is beyond imagination...  I also made the same planning not knowing VS will FAIL on me,neutral
 glad to know that the ad display problem was due to a firewall config at yr office. phew!,positive
 woot!,positive
"'I don`t like Monday, i wish it were sunday, cause that`s my fun day.'  that was my freaking jam when i was little.   i miss it.",neutral
 ???    ?????? - http://bit.ly/nAcK2,neutral
"Waiting for the last movie to finish then am test screening Ghost of Girlfriends Past, glass of wine and lolly bag in hand, yay!",neutral
Happy #StarWarsDay. May the 4th be with you!  From everyone _paintball,positive
"You are worst, very bad work very disappointing",negative
