text,sentiment
I`m leaving work now. Trying to decide if I return on Sunday afternoon or Monday 4 am to meet a noon (UK time) deadline.,neutral
 haaaw..well i get out of class at 10:50..i hope i make it,positive
"oooh, sunshine! A patch of sunshine! And it will be gone by the time I leave work and replaced with rain.  /vent",neutral
skype call with billie but my webcam dont work,neutral
"Just had a great study time followed by a delicious Japanese meal with Arty! Now, trying to get back into the study mood",positive
FML not having a car is prohibiting finding a job,negative
"  lol since I got twitter a little while ago, it seems like loads of people setting up an account",neutral
 I want to see David cook!!,positive
 yeh me 2,neutral
 learning tat the scenic way  din plan to go town but somehow was herded there?,neutral
" i don`t want to do anything specific, i just want to see you and puppy!",neutral
 yeah i need his fricken cell number ive tried his home for months and hes too busy. i miss braddddddddd,negative
Toy Story 3 trailer premiered with Up. I need my computer back.,neutral
ughh on the phone with HP!,neutral
And- hand made by Dan & Jenn -sock blockers ... made from exotic woods ... one of which is called 'purple heart',neutral
 yay about breaking 200!,positive
 bahah sadly I am not,negative
 i always have those for my Champions League parties  Tis awesome,positive
" well, not all. just stay away from those kinds and surround yourself with those who don`t. happy mother`s day to ur mom, treiz!",positive
_Adel they didn`t reply yet.. wait till they confirm.. in case somebody might have translated it already..,neutral
 thats rough. hubby had knee surgery but it did help him in the end. Let us know the results. We`ll keep him in our prayers,negative
might have to go back much earlier than expected. bye bye bay area,neutral
"Playin City of Villains, wishin my buddies were playin with me.....",positive
" yep - three things: a good haircut, the ability to listen and the value of not taking yourself too seriously",positive
 riley hacked my twitter!  hahaha :],neutral
Big Sad Face   Bing doesn`t work on iPhone.  It just takes you to the regular mobile Live search.,neutral
 I liked it.  Did you record it yourself?  If so you have a very soothing voice.,positive
man im so sad school is ending  but then again high school might be better :O,neutral
" Folks thought it was hilarious when I told them the story, and then they saw the shirt I wore tonight.  Laughter all night.",positive
 you`re the absoute best,positive
oh my god!!! i cried so much!!! watch this guys from BGT  http://bit.ly/5t5Xz,neutral
My near daily exercise is starting to show results.,neutral
 Welcome!,positive
Bout to hit pmark then make one of my final meals wit the housemates..,neutral
: you get to go home and i have to go to work,neutral
voted for  on CMT.com,neutral
"just got home from a nice party, just not tired yet",positive
Now I have a sunburn,negative
I have the Job  this is a nice day it can not be better,positive
I wish I could go to #BEA this weekend.,positive
"I <3 Rupert Grint......& of the boy, Ive accepted tht I do fancy him  But im certain he doesnt feel the same so its not worth telling him",neutral
 love your books,positive
ok so this eye doctor guy is taking forever and i`m sitting in a cold room by myself...what? A jerk!,negative
Im Slowing on My Tweets..Cuase I Lost My Phone,negative
 well thank your phone for me.,positive
 why would they take a photo with stuffed animals?! that`s pretty funny,positive
TweetDeck is acting really strange! Hum........ reinstall maybe. Update on the horizon? Or is it just another Adobe memory leak,neutral
tikcets are only ï¿½91...each...BUT I SO WANT TO GO,positive
 Happy Mothers Day,positive
 It`s gonna be hot here today too. today is Ryan`s last day of pre-k. I can`t believe it!  I`ve been a SAHM since I had him!,negative
is dreaming of the weekend... awake!,neutral
"Oh, **** me. I`ve just returned from the Supermarket Of Doom to find that I have nothing to drink here.",negative
 yay but you missed naptime,neutral
"D-group Saturday`s, with a little bit of football, an hour nap, 3 hours of soccer, basketball in the TSU and Yogurtland... Life`s Good",positive
just set up a new computer again. 15min. I love Norton Ghost.,positive
Ahhh my mommie got me new sheets for my bed  so comfy,positive
_celeste  finally some sleep in silence,neutral
im just up :-| and its 12:43 :O  im so lazy thank god its a bank holiday,neutral
is pretty dang tired. but chambers class is for napping.,negative
i have to poop...   is hogging the shitter,negative
YES! Im down to 50% full on my dvr  i was at 98% like 3 days ago... lol I swear if I didnt have a dvr I would never watch tv,neutral
Happy muthath`s day to all moms!!! I salute you!,positive
Hahaha! Alright  ..,positive
 Aren`t you suppossed to support the local economy ... LOL ... good for you and congrats,positive
 good to know   thanks,positive
 what are you? flavor of the day?,neutral
weathers let me down this morning...ugh!...hada gd nite tho!,neutral
Just listened to condre scr and got an invitation to watch their live concert on June 20th in Munich http://bit.ly/DAXA0  #postrock,neutral
" E.L.O.  wow, brings back so many happy memories.  LOVE this band!..and yes, I know I`m showing my age but I don`t care",positive
 that`s a very cute picture ... but you don`t get fat from licking BBQs ... he must have found some chops on someone else`s ...,positive
 oh i love sunday mornings like this - mum just made scrambled eggs on toast,positive
"hate working when its sunny,boohoo",negative
is ONLiNE  http://plurk.com/p/stjdg,neutral
bundy. in 3 days.!!!! warm weather here i come!,neutral
Wondering if i cld make things any worse than they already are... answer.. JUST DID!!!,negative
a Dutch marketing agency is asking job applicants to apply in 140 characters or less  http://www.energize.nl/twillicitatie/,neutral
Twitter has spoiled all the fun. Frustratingly slow!!  couldnt even bid properly!,negative
_chick haha. I completely agree,positive
"If we don`t pack, she can`t leave, right?",neutral
 ****  lol....where u headed to?,neutral
Going to bed after a great night with a friend  glad to know she has the same feelings about classes as someone else,positive
" many! mine included. ahem. shld have known better back then, wldn`t have missed so many opportunities haha",negative
it`s nice to leave the office when the sun is still up,positive
I will miss the soccer moms,negative
" between the Garlic Pills, the Spider bite between your toe (LOL-Classic) and you always being hungry. U are killing me 2 funny",neutral
 *sighs* Ah well.  Maybe my second email will clear it up and get him approved.,neutral
"  Missed all your tweets again Joe, **** that time difference!!! (UK) Dont 4get about your fave supporters in the UK!!!  ****",neutral
 --that came to my mind. So I said it. And it has now been adapted into my family`s vocabulary,neutral
looking forward to body works today,neutral
just watched yes man. bahaha. that movie is messed up,negative
 Sadly I think I know exactly were you put it--in the expired drawer   Those things have a life span of less than two years,negative
" Too much? No, not unless one of the pillows ends up suffocating the one sleeping next to you.",negative
Meeting my best friend first thing in the morning to the gym! Omg I am still so shocked. I hope you will get better soon,neutral
Wow that was fast...next up Soderling or Ferrer. Gilles Simon lost,negative
 Yup theory is GREAT but the reality is beyond imagination...  I also made the same planning not knowing VS will FAIL on me,neutral
 glad to know that the ad display problem was due to a firewall config at yr office. phew!,positive
 woot!,positive
"'I don`t like Monday, i wish it were sunday, cause that`s my fun day.'  that was my freaking jam when i was little.   i miss it.",neutral
 ???    ?????? - http://bit.ly/nAcK2,neutral
"Waiting for the last movie to finish then am test screening Ghost of Girlfriends Past, glass of wine and lolly bag in hand, yay!",neutral
Happy #StarWarsDay. May the 4th be with you!  From everyone _paintball,positive
Must head back to the office,neutral
St joe is dirty.,negative
http://twitpic.com/4w67k - Camping at black butte lake,neutral
" are you getting my messages or do you have to add me to recieve them, soz I`m new to this",neutral
I hate my life,negative
sick to my stomach.. and i have a headache.. i wish someone could come rub my temples.,negative
 ****! natalya! you gotta tell me whats going on!!! i`d call you but i lost all my phone numbers when i broke my blackberry,negative
just thought about how unfair 3 ppl have been 2 me n got depressed again  HATERS!!!,negative
crying real tears,negative
_Brown been holding onto this one for a while  http://twitpic.com/4w5eh,neutral
 Panchito`s burfday party tonight... wish you were here kiddo!,positive
Back from town and my Mac crashed on me  but it`s better now,neutral
ARCHIE ANDREWS WHAT WERE YOU THINKING?! veronica?,neutral
the best things in life are free  x,positive
misses my Mom today. She was my Best Friend and even though she has been gone several yrs I still miss her dearly. Happy Mother`s Day,positive
I am watching Blood + on veoh episode 19 love the music.wishing i could watch the live action but not old enough,negative
 that is a bummer,negative
 He is the truth! But what about Maxwell? You can`t forget the future father of my children!,neutral
http://twitpic.com/665jw The racoons ate our bread!,negative
Be sure to let the moms you know how fabulous you think they are!!   Almost Mother`s Day.,positive
"_in_a_story Glad I`m not the only one. He`s our baby, and I`m terrified he`ll think we`re never coming back.",neutral
No launch today. Teacher changed plans and we watched a stupid move about tesla,negative
  it`s very pleasant. i sooo rarely just have time to kill...,positive
 thank you!! ooh I see you`ve read Desert Islands http://is.gd/ys6K great book!,positive
__O lol but tiz a good song,positive
Again working on the internet shop ... don`t think we will achieve the goal of uploading by the previously set time   Will keep going,neutral
"@_Anix_ I bought cheesecake ice cream last week, thinking it was good, and it sucked so much.   I`m taking yours.",negative
 what causes the frustration buddy?,neutral
_Wright THANK YOU! 'Return of the Mack' is THE jam!,positive
Ready for this saddenning depressing dullful upsetting dreadful weekend.,negative
sorry for my lack of tweets  ive been buzy. new vid this saturday!!,negative
" I do my humble best  Going on a works paintball day soon so that should fuel a few strips, no doubt",positive
going to bed  cant take thiss any longeerr maan. [U],negative
_Morden ..be at richard`s. if not then i`ll see you when you/we get back  good luck!,positive
 Thanks...I really do appreciate that. I know it will be the hardest thing I have ever done,neutral
Spent the last hour signing yearbooks. I`ll miss you guys!,negative
And I just love every little thing about you...,positive
My mobile has stopped recieving text messages AGAIN. Stoooopid thing,negative
" Hi Simon, let me know when it`s done",neutral
Had an amazing night with my favorite lady friend,positive
_Oyler Poor little woman with her smushed in head,negative
is fixin to clean the house for my mom for mother`s day,positive
"Why do you think people say, 'save the drama fo yo mama?' I`m sure even yo mama wouldn`t wanna listen to ur drama. Ode to mother`s day!",neutral
 Hey! That`s my school! I hate that place.,negative
 i did i only got 3 stars on the pre wash then failed the rince,negative
MY SiSTER iN LAW JUST LEFT FOR HER PROM!! SHE LOOKED SOO PRETTY.. TEARS ALL AROUND,positive
 follow me too,neutral
bought three books!! yipee!!  now who`s with me on that read-ten-books-during-the-summer thing?,neutral
I`m really bored! My brother went to get his permit! Stay off the roads! Jk lol! It feels like all my friends have abandoned me! Except 1,negative
", goodnight",positive
"_The_Moon Hiya hun! It`s just not my day. Dentist appointment (ouch!),notebook being a ****. Feeling sick  How`s you?",negative
" but i do emily ahahha you scare me, so it would work",negative
Now I need to change my monitor,neutral
" I know dude, i`m doing re-runs, making Jenny watch them now too so we can have conversations LOL.  Haven`t been online much",neutral
WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,neutral
should not have waled past the Quad! I want to be outside having fun.,positive
"just rocked home from maccas, and now signing a petition for big bang to tour aus  LOL",neutral
i think the food i ate made me sick.. i no feel so good,negative
 eagerly anticipating twitpics,neutral
"Lots of tasks to complete today. First, wecloming new members to Canadamigos Social Networking site, www.canadamigos.com, and coffee",positive
Just wants to stay in bed all day but has to go to work instead  sux,negative
chillen trying to figure this thing out gettin drunk,positive
yay doctors  now interview then back 2 the doctor`s for blood work,neutral
Filming at a carnival for my music video... It reminds me of the Cherry Festival that I used to go to back home... Ahhh memories...,positive
I`m siiiiiickkk  I dun feel good!!,negative
 Propellerheads has been on my harddrive for a long while. Just got my music repo back in shape this WE and felt nostalgic,positive
Glorious sunny day in London town.. I`m in drama school fighting people with swords while protecting my romantically structured face,positive
_89 I feel so sorry for her  hope she dnt cry 2nd time,negative
would wish the severe migrains would stop!!! doc`s prescriptions arent working,negative
"09/09 +full moon+ my lovely friends and family= my b-day wish came true;)<3 In addition,gray matters is one of the cutest movies ever!!",positive
My Life Would Suck Without You - Kelly Clarkson,negative
revising for exams,neutral
" you should so host the next logies, i only laughed at your bit really",positive
 Hi Jordan i`m gonna all of u...I know ur busy and i know ur probably tired. but please reschedule NC. don`t leave us out.,neutral
__joy i feel like red lea now,positive
 I`d love to but I think the trek from London would be a bit too much,neutral
 hey hey,neutral
thinks revising in the garden from 8 this morning without sunscreen isnt the best idea ive had  oucccccccch,negative
Is miserable  i feel like im gona cry  sux!,negative
 i know they are delicious.miss germany but like holland as well as we used to shoppin there at weekends.lol,positive
" LOL, very true. Maybe next year. I loooved that siggy, and I don`t remember what the password for the mod thing was  Cake?",positive
" lol, get watching it again  hehe",neutral
 Hope you did great - you certainly spent enough time studying.,positive
 btw - downloaded iphone 3.0 sdk,neutral
Straighening my hair and its not going as straight as i want it to be what a  bummerrr for me,negative
" I need botox work on the lips if I`m going to change my name to Angelina Jolie, but it`s a thought! Sad though about the racism",negative
" me? A doctor? *laughs* oh, no, no, no. I was _crane`s patient at Arkham Aslyum, but now I work for him",neutral
Morning all! Have a GREAT DAY! Off to school I go,positive
"now, in a weird mood  muahaz",negative
 congrats! Photo of dre?,positive
"#SanctuarySunday  thanks for joining on #SanctuarySunday, follow more Sanctuary people to keep up to date on the tweets!",positive
"Done at Disneyland, kid`s knocked out, stopped by the hotel bar and grabbed a grey goose & tonic on the way up...peace",positive
 ok. lol. i miss you too. i hope your cramps get better. i know how painful they can be.,neutral
" Oh, and a very good review",positive
_MileyCyrus it wont let me do it twitter keeps saying over twitter capacity or something that bird keeps coming up.,negative
I`m extremely hungry.... and the only thing I have in my house is Soup...  I don`t like soup... *pouts*,negative
 its hilarious,positive
 I love the guy that was standing behind me,positive
Bout to hit the sack...got **** to do tomorrow. Happy mothers day MOM!,positive
lost my DC hat ..,negative
starting the video editing of the first spanking movie we did with Mina ... it will be added to the next update,neutral
"   In effect, your podcast IS the audio version of your book. Isn`****? (plus, it has the added charm of banter  )",neutral
"Sunny synday morning. Nicole is up later than usual, mommy got some sleep",neutral
Browsing  find everything about university & interior design.,neutral
I have not tweeted for SIXTEEN DAYS! I miss it =( I`ve been having fun though! =D Ingrid on mon was frakking awesome  BBQ today!,neutral
 visit si fr joemar dito bataan (frm camiguin) & sum of my ofcmates& i are supposed to meet him this saturday  can`t luwas,neutral
 I am soo excited about your pasadena seminar...if only i can find the confermation email,positive
Ugh I don`t feel well again all of a sudden,negative
I want a new phone  I`ve seen too much cellphone commercials (,negative
 we`ll test that theory  with no right arm to strum with.  Got a feelin I`ll be humming my new tunes for a while,negative
 http://twitpic.com/4vuuy - That`s so cool.,positive
school. 39 days !!! so exited. Amazing premier ,positive
  tis very useful indeed esp. for newbies like me!,positive
Gonna go and see my sister at Mount Sinai ....  she`s there for at least another 24 hours.,neutral
 it was just the handle tg,neutral
backe backe... MUFFINS!!!,neutral
is relaxing after working on Mothers Day.  Oh well. A good day had.  Hope you are all well,positive
lasttt mondayyy of classs,neutral
 yup!  Now I can join in on the nin access fun!,positive
"I just walked into work, all the while thinking that I was sitting in Bellagio this time Wednesday.",neutral
 unfair  I wanna go too.,negative
Download movie  'A Good Day to Be Black &#38 Sexy' http://tinyurl.com/ckmkul cool #movie,positive
Jus got back from a run up sunset blvd! My cuzin tried to kill me my legs are still movin and I`m sittin down!!,negative
" Aww, that`s sad.  I miss seeing you guys on the big screen.",negative
 I knooww  & my hot water bottle iss in whangamata without me. ahhhhh,neutral
" eeeeep so jealous ;) I`m at work  um, how can u receive Viva? Do they broadcast it online? :plz:",negative
 Thank you so much phaoloo !!!!,positive
 the hotel should be thankful,positive
"Watching GH. I feel so bad for Carly.  OMG, so **** up.",negative
 rofl that`s what we like to hear,positive
"Ok I`m frustrated, there is hella dust between the screens of my blackberry",negative
IS ANYONE AWAKE?!?!?!?! oh my god i am dying here. i want to go to SLEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEP. :[,negative
 We do! Its been to long! I think i have next weekend open. When are you going to have the house warming party,neutral
"Change of plans, working inside bar tonight",neutral
 thanks for following,positive
" Well, good luck then.",positive
at work getting a quick bite to eat before having to kill my wrist self addressing 500 envolopes,negative
Arghhhhhhhhh... i can`t keep up with these TwitterBones peeps,negative
Undervote is just going on  I`m all overalled up,neutral
making german apple slice  nom nom nom,positive
Looks like its another night at the office lol,neutral
My tummy hurts,negative
Got about 2 hours sleep.,neutral
Anybody else experiencing painful slowdowns with facebook?,negative
Lol..2 people in falcon..and boo one of them being becca,neutral
i really need to earn money... so that i can watch the PCD concert,neutral
The poor Pirate had out his last wisdom tooth and is looking really peaky.,negative
Mozzer cancelled tonight by the looks of it.,positive
"waiting for aaron to get into town, and then leave him for work. booo",negative
morning tweat tweat twitter,neutral
Headed home ... Charlie`s at the vet,neutral
i wanna b maliks from taking the stage,neutral
is going to bed soon. happy mothers day to all the mothers  <333 ryan less than 3 weeks :],positive
"bored bored bored! wish i had something to do tomorrow, especially with the weather we`re to have!  not fair",negative
 well even with her breakdown she was better than the other acts unfortunately! Britain`s got very little talent,negative
about to go to leeds shopping,neutral
" Sadly, I can`t view that site due to region restrictions",negative
"It`s 20:50 hs and i`m still at the office...really tired,wanna go home!",negative
Aly & AJ new album this summer. YAY!,positive
_day26 ~ Awwwww have fun with the fam boo boo,positive
@ lovelytrinkets I like the way you worded that about Rocky Road,positive
Mexican coca cola in a bottle. New favorite thing.  No high fructose corn syrup....  sugar is so awesomely old school.,positive
Got people don`t let me skip sci pratical becos skola is impt and dont waste my parents money.  Nt fair.,negative
I have nothing witty to say,neutral
 me too.,neutral
Hi ho  hi ho it`s off to work we go,neutral
 Thanks for the hint.  http://tinyurl.com/chtx7e.,positive
" u welcome babe, kill the show! Yuuupp!",positive
" Hey, Candis.",neutral
 I was never a good stereotypical teen,negative
I love my Maitu. N she loves me. Happy mothers day mama!,positive
 i am so sorry,negative
i want to go to singapore but my mother seems not,neutral
JB on the front of factor x!!!!! wooh contest timeee,neutral
 so u aren`t going to be in Chicago,neutral
i have problems wih pizza..ii love it too much..i`m so addicted to pizza  and Dot Dot Curve. >,positive
So tired.,negative
had a lovely breakfast with mum...yummy pancakes,positive
 Yay! have fun,positive
 Why thank you... Us Mami`s are bringin` sexy back...,positive
 lucky! that`s awesome,positive
"Oh god, a moth was living in a **** power outlet!  (Actually, my PowerSquid.)",negative
"I am craving Burrito Boys - Large halibut, with everything on it, no jalepenos, 1 line hot sauce. Can anybody hook me up?",neutral
Oh is that time for real?,neutral
So now we`ll pay more in sales tax...great.  Even worse Mom and Pop businesses have to double what they pay in business licenses.,neutral
"I love  very much  I called him, but he was talking to other fans  I love you a lot Mitchel! I`ll see u in El Cajon. June 7",positive
I misses my bed  so sleepy!,negative
"Woo! Two days till awesome gig, one day till Uni is finished for 12 days  #gigs #3yp",positive
No TV and no internet make Catherine something something?,neutral
Anyone have some advice??? I need it!!,neutral
Just found mj mouse flats at DJs. Of course there are none left in my size,negative
I`m dreading hearing even worse news tonight,negative
"so now that I have a whole 20 followers, 5 of them actual people, I don`t know what to write in here anymore",neutral
haappy bank holiday  2 weeeeks. aah!,positive
  I thought  was against licensing stores bc it takes away from the experience they want to provide,neutral
_a_michael It doesn`t look like you`re tired in the pic.  Don`t work too hard.,neutral
so I slept in a little...well a lot. whooops,neutral
says my new layout is so cute x) see the cuties ? hahahah  http://plurk.com/p/suqp6,positive
" Good night, Rob. Sleep well. Safe travels tomorrow!",positive
 i know i suck.  my data plan is weak sauce.,negative
" Well I will be making beds, creating noise & cleaning cleaning all day long.  With music & a smile  x",neutral
"  Bit of New Scientist, this weeks an last weeks, and Watership Down",neutral
 dear oh dear.....,negative
my monday running so fast!,neutral
playing at my old school playground still the same except them lame **** got rid of the tire swing,negative
happy mommah`s day to your moms  http://plurk.com/p/stqya,positive
_Cal Work or...(hehe mind in the gutter)! I`m sittin here doin this student loan thing.,neutral
" Lol - I could have written that - would be good to have 2 Mondays this week, then I might catch up x",positive
 you`re surrounded by them! I have no official nieces/nephews yet,neutral
 Cant wait for DTE in Michigan this summer you guys are great look for me in the customized NKOTB Track Jacket,positive
 nope i have a fifth generation ipod classic  it likes to be dumb,negative
 meetings are overrated.,negative
 I love the smell of procrastination in the morning... oder so.,positive
 I considered being a nurse when I was younger but I really don`t think I could cope if a baby died,negative
 I know.  I am definitely going to try and see Up this weekend.,positive
 Nice!!!!!!!! I WILL be there,positive
Oh No!!!! I must be gettin old!!!! My mom use to watch this show....I miss her,negative
" lol that just totally made me laugh, which made my day",positive
tonight was fun,positive
 this creepy guy when I was walking the dog  I`ve had my fill of creepers for the day,neutral
Good morning!  Just took the longest shower ive ever taken in my life. Like 45 to 50 min shower!! Woah. lol,positive
is on facebook,neutral
I get to drive my dad to the airport so he can fly to Vegas for the WSOP... I wanna go to Vegas...,neutral
Franco made breakfast for Mom. Here he`s trying to cut the strawberries (only safe knife  #fb http://twitpic.com/4wsmw,neutral
" http://twitpic.com/4w9h2 better in person had to send u this, I feel like mouse from 'The American Tail' . Over in RI!",neutral
"Allergies  sun is out, wearing shorts.  Stuck with my advisory the whole day.... This should be boring. Except fun. If people make it fun?",negative
 Thank you! You should know that I am both happy and sad (all at the same time) to know that. You`ve got 'The Right Stuff',neutral
"_merchant I agree, but teenage daughter will be spending my money on the movie of their concert this week.",neutral
Someone out there will soon  be the lucky recipient of my 5000th Tweet. Oh wait. ****. THIS was it!,neutral
Good  morning! Just went to bed it feels and already morning...goes fast! Now i am going to the gym soon. Have a nice day!,positive
 one of our governors is one of the directors of the company,neutral
no internet for a week or longer,negative
Jesus Christ meadowhall could do with better air con! Too hot,negative
Is listening to P!nk tunage and trying to teach my cat to dance to it... I think she`s getting it we can be backing dancers by next tour,neutral
 I sure she can,positive
"Getting ready for work and the sun is shining, plus it`s the w/e! Bgt tonight..... what am I gonna do after it`s finished?!",neutral
"this aztec mask is harder then i thought! but u kno what, i think i did a pretty good job for not being an artist",neutral
"Listenin to some old school new found glory. Hedro, gimi a high school band i can down load. Besides home grown....",neutral
"Kelly Kelly pays your bills @ 12:15, Kaden pays em @ 5:15 and  just wants you to follow him. lol He dosent get to pay bills",neutral
 i want to gooo,positive
evryone come here http://www.blogtv.com/People/GinaNicole2 were spamming so much and blogtv is glitching and it might work,negative
Ready for tomorrow. My mommy will get her gift for Mother`s Day. Hope she LOVES it!,positive
Ugh fun concert  screen cracked on phone again because it fell... =\,negative
 if you take backstreet boya and put them in silk mc hammer pants with sgt peppers/beatles coats and lame music then you have SMAP,neutral
"So happy, my VStudio shortcuts are backkk",positive
 can`t wait to hear the evp! And cuuuute picture.,positive
Headed to verizon. Praying that pinkberry is going to make it.,positive
Awaiting reply from two projects. One cancelled.,negative
Coco still out,neutral
 Have You Watched You Belong With Me?   By My Lovely Sister ) Kiddin.,positive
 Hello again  How`d ur saturday go?,neutral
 why aren`t you showing up as a #spymaster in my screen?,neutral
"Well, Sacramento, I hope you appreciate Rivkah Sass & treat her well. I`ll be sitting here in Omaha, pouting",positive
Leaving the beach .. Having a great day with vicente .. We needed this time together,positive
"Got caught in the rain. Sand Monsoon all the way home, even though i looked like a complete idiot",negative
just left & already misses Nashville  be back sunday,negative
Going to bed after the CAVS game  Don`t judge me LOL,neutral
" you`re a busy Bob, I`m jealous. I`m not sure I can even afford to go meet John de Lancie and Leonard Nimoy",negative
I am living in a country where the government is ALWAYS a circus show ... sad but true...,negative
went twitter crazy! last nigh :p well thats what happens when u got nothin ta do at 2 o`clock in da mornin,neutral
 I want chocolate!,neutral
"http://twitpic.com/4ja8r - Tell me, how can you not love someone like this?",neutral
